"","school_district","school_code","school_name","postal_code","school_category","type","city","short_postal_code","health_authority"
"53",8,807011,"Salmo Elementary School","V0G1Z0","Public School","Standard school","SALMO","V0G","Interior"
"54",8,807012,"Salmo Secondary","V0G1Z0","Public School","Standard school","SALMO","V0G","Interior"
"55",8,807013,"L V Rogers Secondary","V1L3W2","Public School","Standard school","NELSON","V1L","Interior"
"56",8,807014,"South Nelson Elementary","V1L4V7","Public School","Standard school","NELSON","V1L","Interior"
"57",8,807016,"Blewett Elementary School","V1L6V4","Public School","Standard school","NELSON","V1L","Interior"
"58",8,807018,"Rosemont Elementary School","V1L1A5","Public School","Standard school","NELSON","V1L","Interior"
"59",8,807025,"Mount Sentinel Secondary","V0G2G0","Public School","Standard school","SOUTH SLOCAN","V0G","Interior"
"60",8,807026,"W.E. Graham Community School","V0G2C0","Public School","Standard school","SLOCAN","V0G","Interior"
"61",8,807033,"Brent Kennedy Elementary","V0G1H0","Public School","Standard school","CRESCENT VALLEY","V0G","Interior"
"62",8,807034,"Winlaw Elementary School","V0G2J0","Public School","Standard school","WINLAW","V0G","Interior"
"63",8,807035,"Redfish Elementary School","V1L6M9","Public School","Standard school","NELSON","V1L","Interior"
"64",8,825030,"StrongStart Outreach #5","V0B1G0","Early learning school","StrongStart outreach","CRESTON","V0B","Interior"
"65",8,825090,"SD 8 StrongStart BC Outreach Program #3","V0G2J0","Early learning school","StrongStart outreach","WINLAW","V0G","Interior"
"66",8,825207,"StrongStart Outreach #4","V0B1E0","Early learning school","StrongStart outreach","CRAWFORD BAY","V0B","Interior"
"67",8,825208,"SD 8 StrongStart BC Outreach Program #1","V1L1A5","Early learning school","StrongStart outreach","NELSON","V1L","Interior"
"68",8,825209,"SD 8 StrongStart BC Outreach Program #2","V0G1M0","Early learning school","StrongStart outreach","KASLO","V0G","Interior"
"69",8,886004,"Adam Robertson Elementary","V0B1G0","Public School","Standard school","CRESTON","V0B","Interior"
"70",8,886005,"Jewett Elementary","V0G1N0","Public School","Standard school","MEADOW CREEK","V0G","Interior"
"71",8,886006,"Crawford Bay Elem-Secondary","V0B1E0","Public School","Standard school","CRAWFORD BAY","V0B","Interior"
"72",8,886007,"Kootenay River Secondary","V0B1G5","Public School","Standard school","CRESTON","V0B","Interior"
"73",8,886014,"Canyon/Lister Elementary","V0B1C0","Public School","Standard school","CANYON","V0B","Interior"
"74",8,886016,"Elev8 Homelinks","V0B1G0","Public School","Provincial online learning school","CRESTON","V0B","Interior"
"75",8,886018,"J V Humphries Elem-Secondary","V0G1M0","Public School","Standard school","KASLO","V0G","Interior"
"76",8,886019,"Erickson Elementary","V0B1K0","Public School","Standard school","ERICKSON","V0B","Interior"
"77",8,896143,"St Joseph School","V1L4S2","Independent School","Standard school","NELSON","V1L","Interior"
"78",8,896220,"Whole School","V0G2J0","Independent School","Standard school","WINLAW","V0G","Interior"
"79",8,896449,"Nelson Waldorf School","V1L6N2","Independent School","Standard school","NELSON","V1L","Interior"
"80",8,896710,"Nelson Christian Community School","V1L6J2","Independent School","Standard school","NELSON","V1L","Interior"
"81",8,896726,"Mormon Hills Elementary Secondary","V0B1G2","Independent School","Standard school","CRESTON","V0B","Interior"
"82",8,896749,"CHEK-ABC","V1L6J2","Independent School","Provincial online learning school","NELSON","V1L","Interior"
"83",8,896864,"Kootenay Valley Christian School","V0B1G6","Independent School","Standard school","CRESTON","V0B","Interior"
"84",8,897558,"Yaqan Nukiy School","V0B1G2","Independent First Nations School","Standard school","CRESTON","V0B","Interior"
"85",8,898001,"Elev8 D.E.S.K.","V1L1N8","Public School","Provincial online learning school","NELSON","V1L","Interior"
"86",8,899178,"Wildflower","V1L1N8","Public School","Standard school","NELSON","V1L","Interior"
"87",8,899225,"Reach","V1L3W2","Public School","Alternate programs school","NELSON","V1L","Interior"
"88",8,899298,"Sequoia Centre","V0G1H0","Public School","Alternate programs school","SOUTH SLOCAN","V0G","Interior"
"89",10,1010002,"Burton Elementary","V0G1E0","Public School","Standard school","BURTON","V0G","Interior"
"90",10,1010003,"Edgewood Elementary","V0G1J0","Public School","Standard school","EDGEWOOD","V0G","Interior"
"91",10,1010004,"Nakusp Elementary","V0G1R0","Public School","Standard school","NAKUSP","V0G","Interior"
"92",10,1010006,"Nakusp Secondary","V0G1R0","Public School","Standard school","NAKUSP","V0G","Interior"
"93",10,1010011,"Lucerne Elem-Secondary","V0G1S0","Public School","Standard school","NEW DENVER","V0G","Interior"
"94",10,1025031,"Nakusp StrongStart Centre","V0G1R0","Early learning school","StrongStart center","NAKUSP","V0G","Interior"
"95",10,1025091,"Lucerne StrongStart Centre","V0G1S0","Early learning school","StrongStart center","NEW DENVER","V0G","Interior"
"96",10,1025210,"SD 10 StrongStart BC Outreach Program #1","V0G1E0","Early learning school","StrongStart outreach","Burton","V0G","Interior"
"97",10,1099217,"Arrow Lakes Distributed Learning","V0G1S0","Public School","District online learning school","NEW DENVER","V0G","Interior"
"98",19,1919003,"Revelstoke Secondary","V0E2S0","Public School","Standard school","REVELSTOKE","V0E","Interior"
"99",19,1919013,"Columbia Park Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","V0E","Interior"
"100",19,1919015,"Arrow Heights Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","V0E","Interior"
"101",19,1919016,"Begbie View Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","V0E","Interior"
"102",19,1925001,"Begbie View StrongStart Centre","V0E2S0","Early learning school","StrongStart center","REVELSTOKE","V0E","Interior"
"103",20,2009006,"Kinnaird Elementary","V1N2Z8","Public School","Standard school","CASTLEGAR","V1N","Interior"
"104",20,2009010,"Stanley Humphries Secondary","V1N1R5","Public School","Standard school","CASTLEGAR","V1N","Interior"
"105",20,2009011,"Twin Rivers Elementary","V1N1R6","Public School","Standard school","CASTLEGAR","V1N","Interior"
"106",20,2011005,"Fruitvale Elementary","V0G1L0","Public School","Standard school","FRUITVALE","V0G","Interior"
"107",20,2011009,"James L Webster Elementary","V1R2G5","Public School","Standard school","TRAIL","V1R","Interior"
"108",20,2011012,"J Lloyd Crowe Secondary","V1R4L9","Public School","Standard school","TRAIL","V1R","Interior"
"109",20,2011014,"Rossland Summit School","V0G1Y0","Public School","Standard school","ROSSLAND","V0G","Interior"
"110",20,2011015,"Glenmerry Elementary","V1R2W6","Public School","Standard school","TRAIL","V1R","Interior"
"111",20,2020021,"Robson Community School","V0G1X0","Public School","Standard school","ROBSON","V0G","Interior"
"112",20,2020023,"Kootenay Columbia Secondary","V1R1R6","Public School","Standard school","TRAIL","V1R","Interior"
"113",20,2025032,"Fruitvale StrongStart Centre","V0G1L0","Early learning school","StrongStart center","FRUITVALE","V0G","Interior"
"114",20,2025092,"Rossland StrongStart Centre","V0G1Y0","Early learning school","StrongStart center","ROSSLAND","V0G","Interior"
"115",20,2025203,"SD 20 StrongStart BC Outreach Program #1","V1N3B9","Early learning school","StrongStart outreach","CASTLEGAR","V1N","Interior"
"116",20,2025211,"Robson StrongStart Centre","V0G1X0","Early learning school","StrongStart center","ROBSON","V0G","Interior"
"117",20,2096098,"St Michael's Elementary","V1R1S3","Independent School","Standard school","TRAIL","V1R","Interior"
"118",20,2099137,"Kootenay-Columbia Learning Centre","V1R1R6","Public School","Alternate programs school","TRAIL","V1R","Interior"
"119",22,2222000,"Continuing Ed SD 22","V1T2E4","Public School","Continuing education school","VERNON","V1T","Interior"
"120",22,2222001,"Ecole Beairsto Elementary","V1T4W7","Public School","Standard school","VERNON","V1T","Interior"
"121",22,2222002,"Coldstream Elementary","V1B1L7","Public School","Standard school","COLDSTREAM","V1B","Interior"
"122",22,2222005,"Cherryville Elementary","V0E2G3","Public School","Standard school","CHERRYVILLE","V0E","Interior"
"123",22,2222006,"Lavington Elementary","V1B3G4","Public School","Standard school","VERNON","V1B","Interior"
"124",22,2222007,"W.L. Seaton Secondary","V1T6X3","Public School","Standard school","VERNON","V1T","Interior"
"125",22,2222009,"Harwood Elementary","V1T4E3","Public School","Standard school","VERNON","V1T","Interior"
"126",22,2222010,"J W Inglis Elementary","V0E2G0","Public School","Standard school","LUMBY","V0E","Interior"
"127",22,2222012,"Silver Star Elementary","V1T2R6","Public School","Standard school","VERNON","V1T","Interior"
"128",22,2222013,"Okanagan Landing Elementary","V1H1G6","Public School","Standard school","VERNON","V1H","Interior"
"129",22,2222014,"B X Elementary","V1B3P6","Public School","Standard school","VERNON","V1B","Interior"
"130",22,2222015,"Hillview Elementary","V1B3A5","Public School","Standard school","VERNON","V1B","Interior"
"131",22,2222017,"Vernon Secondary","V1T9X7","Public School","Standard school","VERNON","V1T","Interior"
"132",22,2222019,"Mission Hill Elementary","V1T6C8","Public School","Standard school","VERNON","V1T","Interior"
"133",22,2222020,"Alexis Park Elementary","V1T6C4","Public School","Standard school","VERNON","V1T","Interior"
"134",22,2222022,"Kalamalka Secondary","V1B1P8","Public School","Standard school","VERNON","V1B","Interior"
"135",22,2222024,"Kidston Elementary","V1B2H3","Public School","Standard school","COLDSTREAM","V1B","Interior"
"136",22,2222025,"Clarence Fulton Secondary","V1H1Y1","Public School","Standard school","VERNON","V1H","Interior"
"137",22,2222026,"Ellison Elementary","V1H1S3","Public School","Standard school","VERNON","V1H","Interior"
"138",22,2222027,"Charles Bloom Secondary","V0E2G0","Public School","Standard school","LUMBY","V0E","Interior"
"139",22,2225018,"Harwood Elementary StrongStart Centre","V1T4E3","Early learning school","StrongStart center","VERNON","V1T","Interior"
"140",22,2225212,"SD 22 StrongStart BC Outreach Program #1","V1T6C8","Early learning school","StrongStart outreach","VERNON","V1T","Interior"
"141",22,2225279,"Alexis Park AM StrongStart Centre","V1T6C4","Early learning school","StrongStart center","VERNON","V1T","Interior"
"142",22,2225313,"Ellison Elementary StrongStart Centre","V1H1S3","Early learning school","StrongStart center","VERNON","V1H","Interior"
"143",22,2296035,"Pleasant Valley Christian Academy","V1T3M7","Independent School","Standard school","VERNON","V1T","Interior"
"144",22,2296078,"St James","V1T1V7","Independent School","Standard school","VERNON","V1T","Interior"
"145",22,2296261,"Vernon Christian School","V1B3R5","Independent School","Standard school","VERNON","V1B","Interior"
"146",22,2296858,"Okanagan Waldorf School","V0E2G7","Independent School","Standard school","LUMBY","V0E","Interior"
"147",22,2299083,"Crossroads Learning Centre","V0E2G0","Public School","Alternate programs school","LUMBY","V0E","Interior"
"148",22,2299151,"VLearn.ca","V1H1Y1","Public School","District online learning school","VERNON","V1H","Interior"
"149",22,2299152,"Alternative Learning Program","V1T2E4","Public School","Alternate programs school","VERNON","V1T","Interior"
"150",23,2323000,"Adult Education SD#23","V1Y2M8","Public School","Continuing education school","KELOWNA","V1Y","Interior"
"151",23,2323005,"Central School Programs","V1Y2M8","Public School","Alternate programs school","KELOWNA","V1Y","Interior"
"152",23,2323008,"Oyama Traditional School","V4V2E1","Public School","Standard school","OYAMA","V4V","Interior"
"153",23,2323014,"Raymer Elementary","V1Y4Z6","Public School","Standard school","KELOWNA","V1Y","Interior"
"154",23,2323015,"Rutland Middle School","V1X3B6","Public School","Standard school","KELOWNA","V1X","Interior"
"155",23,2323018,"Glenmore Elementary","V1Y4P1","Public School","Standard school","KELOWNA","V1Y","Interior"
"156",23,2323022,"South Kelowna Elementary","V1W4B5","Public School","Standard school","KELOWNA","V1W","Interior"
"157",23,2323028,"George Elliot Secondary","V4V1Y7","Public School","Standard school","WINFIELD","V4V","Interior"
"158",23,2323029,"Dr Knox Middle School","V1V2X9","Public School","Standard school","KELOWNA","V1V","Interior"
"159",23,2323030,"Dorothea Walker Elementary","V1W1S5","Public School","Standard school","KELOWNA","V1W","Interior"
"160",23,2323031,"A S Matheson Elementary","V1Y3H9","Public School","Standard school","KELOWNA","V1Y","Interior"
"161",23,2323032,"North Glenmore Elementary","V1V2E3","Public School","Standard school","KELOWNA","V1V","Interior"
"162",23,2323033,"South Rutland Elementary","V1X2W5","Public School","Standard school","KELOWNA","V1X","Interior"
"163",23,2323034,"Bankhead Elementary","V1Y6Y6","Public School","Standard school","KELOWNA","V1Y","Interior"
"164",23,2323038,"KLO Middle School","V1W3M4","Public School","Standard school","KELOWNA","V1W","Interior"
"165",23,2323042,"Peachland Elementary","V0H1X5","Public School","Standard school","PEACHLAND","V0H","Interior"
"166",23,2323043,"Belgo Elementary School","V1X1N3","Public School","Standard school","KELOWNA","V1X","Interior"
"167",23,2323044,"Rutland Senior Secondary","V1X3B6","Public School","Standard school","KELOWNA","V1X","Interior"
"168",23,2323046,"Casorso Elementary","V1W3E1","Public School","Standard school","KELOWNA","V1W","Interior"
"169",23,2323047,"Springvalley Middle School","V1X4H3","Public School","Standard school","KELOWNA","V1X","Interior"
"170",23,2323048,"Pearson Road Elementary","V1X5H8","Public School","Standard school","KELOWNA","V1X","Interior"
"171",23,2323049,"Glenrosa Elementary","V4T1G8","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"172",23,2323050,"Springvalley Elementary","V1X4H4","Public School","Standard school","KELOWNA","V1X","Interior"
"173",23,2323051,"Mount Boucherie Secondary","V1Z2T6","Public School","Standard school","WEST KELOWNA","V1Z","Interior"
"174",23,2323052,"Hudson Road Elementary","V1Z1J5","Public School","Standard school","WEST KELOWNA","V1Z","Interior"
"175",23,2323055,"Bellevue Creek Elementary","V1W1H9","Public School","Standard school","KELOWNA","V1W","Interior"
"176",23,2323056,"Black Mountain Elementary","V1P1G7","Public School","Standard school","KELOWNA","V1P","Interior"
"177",23,2323058,"Helen Gorman Elementary","V4T1A7","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"178",23,2323059,"Okanagan Mission Secondary","V1W1T4","Public School","Standard school","KELOWNA","V1W","Interior"
"179",23,2323060,"Quigley Elementary","V1X5V8","Public School","Standard school","KELOWNA","V1X","Interior"
"180",23,2323061,"Peter Greer Elementary","V4V1Y8","Public School","Standard school","WINFIELD","V4V","Interior"
"181",23,2323063,"Webber Road Elementary","V4T1J5","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"182",23,2323065,"Rose Valley Elementary","V1Z3G6","Public School","Standard school","WEST KELOWNA","V1Z","Interior"
"183",23,2323066,"Davidson Road Elementary","V4V1R3","Public School","Standard school","LAKE COUNTRY","V4V","Interior"
"184",23,2323067,"Shannon Lake Elementary","V4T1T2","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"185",23,2323070,"Anne McClymont Elementary","V1W1W9","Public School","Standard school","KELOWNA","V1W","Interior"
"186",23,2323071,"Glenrosa Middle School","V4T2N1","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"187",23,2323072,"Ellison Elementary","V1X6K9","Public School","Standard school","KELOWNA","V1X","Interior"
"188",23,2323073,"Chief Tomat Elementary","V4T2R8","Public School","Standard school","WEST KELOWNA","V4T","Interior"
"189",23,2323074,"Watson Road Elementary","V1V1R3","Public School","Standard school","KELOWNA","V1V","Interior"
"190",23,2323075,"Constable Neil Bruce Middle School","V1Z3Y4","Public School","Standard school","WEST KELOWNA","V1Z","Interior"
"191",23,2323076,"Kelowna Secondary","V1Y4Z7","Public School","Standard school","KELOWNA","V1Y","Interior"
"192",23,2323077,"Rutland Elementary","V1X4V5","Public School","Standard school","KELOWNA","V1X","Interior"
"193",23,2323078,"Chute Lake Elementary","V1W4K8","Public School","Standard school","KELOWNA","V1W","Interior"
"194",23,2323079,"Mar Jok Elementary","V1Z4A4","Public School","Standard school","WEST KELOWNA","V1Z","Interior"
"195",23,2323082,"Central Secondary","V1Y2M8","Public School","Standard school","KELOWNA","V1Y","Interior"
"196",23,2323084,"Canyon Falls Middle School","V1W4P1","Public School","Standard school","KELOWNA","V1W","Interior"
"197",23,2323085,"HS Grenda Middle School","V4V1T1","Public School","Standard school","LAKE COUNTRY","V4V","Interior"
"198",23,2325033,"A S Matheson StrongStart Centre","V1Y3H9","Early learning school","StrongStart center","KELOWNA","V1Y","Interior"
"199",23,2325093,"Pearson Road StrongStart Centre","V1X5H8","Early learning school","StrongStart center","KELOWNA","V1X","Interior"
"200",23,2325094,"Webber Road StrongStart Centre","V4T1W9","Early learning school","StrongStart center","WEST KELOWNA","V4T","Interior"
"201",23,2325213,"South Rutland StrongStart Centre","V1X2W5","Early learning school","StrongStart center","KELOWNA","V1X","Interior"
"202",23,2325214,"Hudson Road StrongStart Centre","V1Z1J5","Early learning school","StrongStart center","WEST KELOWNA","V1Z","Interior"
"203",23,2325215,"Peter Greer StrongStart Centre","V4V1Y8","Early learning school","StrongStart center","WINFIELD","V4V","Interior"
"204",23,2325216,"Raymer StrongStart Centre","V1Y4Z6","Early learning school","StrongStart center","KELOWNA","V1Y","Interior"
"205",23,2325413,"Peachland StrongStart Centre","V0H1X5","Early learning school","StrongStart center","PEACHLAND","V0H","Interior"
"206",23,2395064,"Intr Hlth Adolescent Psychiatry Unit Pgm","V1Y1T2","Public School","Long term PRP school","KELOWNA","V1Y","Interior"
"207",23,2396013,"Immaculata Regional High School","V1W3N8","Independent School","Standard school","KELOWNA","V1W","Interior"
"208",23,2396023,"Okanagan Christian School","V1X4N3","Independent School","Standard school","KELOWNA","V1X","Interior"
"209",23,2396081,"St Joseph Elementary School","V1Y5X4","Independent School","Standard school","KELOWNA","V1Y","Interior"
"210",23,2396281,"Kelowna Christian School","V1W2E3","Independent School","Standard school","KELOWNA","V1W","Interior"
"211",23,2396360,"Lakeside School Kelowna","V1W1K6","Independent School","Standard school","KELOWNA","V1W","Interior"
"212",23,2396479,"Flex Academy","V1X5Z5","Independent School","Standard school","KELOWNA","V1X","Interior"
"213",23,2396575,"Okanagan Montessori Elementary School","V1W4H1","Independent School","Standard school","KELOWNA","V1W","Interior"
"214",23,2396609,"Our Lady of Lourdes","V4T2J6","Independent School","Standard school","WEST KELOWNA","V4T","Interior"
"215",23,2396676,"Studio 9 Independent School of the Arts","V1X2C9","Independent School","Standard school","KELOWNA","V1X","Interior"
"216",23,2396689,"Aberdeen Hall Preparatory School","V1V3A4","Independent School","Standard school","KELOWNA","V1V","Interior"
"217",23,2396719,"Kleos Open Learning","V1Y0C2","Independent School","Provincial online learning school","KELOWNA","V1Y","Interior"
"218",23,2396738,"Heritage Christian Online School","V1X5Z5","Independent School","Provincial online learning school","KELOWNA","V1X","Interior"
"219",23,2396825,"Aberdeen Hall Senior","V1V3A4","Independent School","Standard school","KELOWNA","V1V","Interior"
"220",23,2396966,"The Balsam School","V1Y6Z4","Independent School","Standard school","KELOWNA","V1Y","Interior"
"221",23,2397006,"Sensisyusten House of Learning","V4T2H3","Independent First Nations School","Standard school","WESTBANK","V4T","Interior"
"222",23,2399159,"eSchool23","V1X4N2","Public School","District online learning school","KELOWNA","V1X","Interior"
"223",27,2725034,"Cataline StrongStart Centre","V2G1X3","Early learning school","StrongStart center","WILLIAMS LAKE","V2G","Interior"
"224",27,2725035,"100 Mile StrongStart Centre","V0K2E0","Early learning school","StrongStart center","100 MILE HOUSE","V0K","Interior"
"225",27,2725095,"Marie Sharpe StrongStart Centre","V2G1S8","Early learning school","StrongStart center","WILLIAMS LAKE","V2G","Interior"
"226",27,2725196,"SD 27 StrongStart BC Outreach Program #1",NA,"Early learning school","StrongStart outreach",NA,NA,"Interior"
"227",27,2725217,"Mountview StrongStart Centre","V2G3G9","Early learning school","StrongStart center","WILLIAMS LAKE","V2G","Interior"
"228",27,2725218,"SD 27 StrongStart BC Outreach Program #2",NA,"Early learning school","StrongStart outreach",NA,NA,"Interior"
"229",27,2725243,"SD 27 StrongStart BC Outreach Program #3",NA,"Early learning school","StrongStart outreach",NA,NA,"Interior"
"230",27,2727000,"GROW Continuing Education Centre","V2G1Z9","Public School","Continuing education school","Williams Lake","V2G","Interior"
"231",27,2727007,"Forest Grove Elementary","V0K1M0","Public School","Standard school","FOREST GROVE","V0K","Interior"
"232",27,2727008,"Horsefly Elem-Jr Secondary","V0L1L0","Public School","Standard school","HORSEFLY","V0L","Interior"
"233",27,2727011,"Marie Sharpe Elementary","V2G1S8","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"234",27,2727012,"100 Mile House Elementary","V0K2E0","Public School","Standard school","100 MILE HOUSE","V0K","Interior"
"235",27,2727014,"Likely Elem-Jr Secondary","V0L1N0","Public School","Standard school","LIKELY","V0L","Interior"
"236",27,2727020,"Big Lake Elementary","V0L1G0","Public School","Standard school","BIG LAKE","V0L","Interior"
"237",27,2727027,"150 Mile Elementary","V0K2G0","Public School","Standard school","150 MILE HOUSE","V0K","Interior"
"238",27,2727030,"Lac La Hache Elementary","V0K1T0","Public School","Standard school","LAC LA HACHE","V0K","Interior"
"239",27,2727041,"Chilcotin Road Elementary","V2G3Z3","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"240",27,2727045,"Mountview Elementary","V2G3G9","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"241",27,2727047,"Columneetza Junior Secondary","V2G2J8","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"242",27,2727054,"Anahim Lake Elem-Jr Secondary","V0L1C0","Public School","Standard school","ANAHIM LAKE","V0L","Interior"
"243",27,2727056,"Peter Skene Ogden Secondary","V0K2E0","Public School","Standard school","100 MILE HOUSE","V0K","Interior"
"244",27,2727057,"Cataline Elementary","V2G1X3","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"245",27,2727059,"Naghtaneqed Elem-Jr Secondary","V0L1X0","Public School","Standard school","NEMAIAH VALLEY","V0L","Interior"
"246",27,2727061,"Horse Lake Elementary","V0K1X3","Public School","Standard school","LONE BUTTE","V0K","Interior"
"247",27,2727062,"Mile 108 Elementary","V0K2Z0","Public School","Standard school","108 MILE RANCH","V0K","Interior"
"248",27,2727065,"Nesika Elementary","V2G4A6","Public School","Standard school","WILLIAMS LAKE","V2G","Interior"
"249",27,2727066,"Tatla Lake Elem-Jr Secondary","V0L1V0","Public School","Standard school","TATLA LAKE","V0L","Interior"
"250",27,2727070,"Dog Creek Elem-Secondary","V0L1J0","Public School","Standard school","DOG CREEK","V0L","Interior"
"251",27,2727071,"Alexis Creek Elementary/Secondary","V0L1A0","Public School","Standard school","ALEXIS CREEK","V0L","Interior"
