"","school_district","school_code","school_name","postal_code","school_category","type","city","grade_10_enrollment","grade_11_enrollment","grade_12_enrollment","short_postal_code","district_name","health_authority"
"43",6,625089,"Blarchmont StrongStart Centre","V1A1S1","Early learning school","StrongStart center","KIMBERLEY","N","N","N","V1A","Rocky Mountain","Interior"
"44",6,625195,"SD6 StrongStart Outreach - Windermere","V0A1K0","Early learning school","StrongStart outreach","INVERMERE","N","N","N","V0A","Rocky Mountain","Interior"
"45",6,696795,"Kimberley Independent School","V1A1A5","Independent School","Standard school","KIMBERLEY","N","N","N","V1A","Rocky Mountain","Interior"
"46",6,696988,"Purcell Collegiate School","V1A2Y5","Independent School","Standard school","Kimberley","Y","Y","Y","V1A","Rocky Mountain","Interior"
"47",6,699069,"Golden Alternate School","V0A1H0","Public School","Alternate programs school","GOLDEN","Y","Y","Y","V0A","Rocky Mountain","Interior"
"48",6,699086,"Kimberley Alternate School","V0A1K0","Public School","Alternate programs school","Invermere","Y","Y","Y","V0A","Rocky Mountain","Interior"
"49",6,699127,"Open Doors Alternate Education","V0A1K0","Public School","Alternate programs school","INVERMERE","Y","Y","Y","V0A","Rocky Mountain","Interior"
"50",6,699157,"Rocky Mountain Online Learning","V0A1K0","Public School","District online learning school","INVERMERE","Y","Y","Y","V0A","Rocky Mountain","Interior"
"51",8,807004,"Hume Elementary School","V1L2M8","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"52",8,807005,"Trafalgar Middle School","V1L1X8","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"53",8,807011,"Salmo Elementary School","V0G1Z0","Public School","Standard school","SALMO","N","N","N","V0G","Kootenay Lake","Interior"
"54",8,807012,"Salmo Secondary","V0G1Z0","Public School","Standard school","SALMO","Y","Y","Y","V0G","Kootenay Lake","Interior"
"55",8,807013,"L V Rogers Secondary","V1L3W2","Public School","Standard school","NELSON","Y","Y","Y","V1L","Kootenay Lake","Interior"
"56",8,807014,"South Nelson Elementary","V1L4V7","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"57",8,807016,"Blewett Elementary School","V1L6V4","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"58",8,807018,"Rosemont Elementary School","V1L1A5","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"59",8,807025,"Mount Sentinel Secondary","V0G2G0","Public School","Standard school","SOUTH SLOCAN","Y","Y","Y","V0G","Kootenay Lake","Interior"
"60",8,807026,"W.E. Graham Community School","V0G2C0","Public School","Standard school","SLOCAN","Y","N","N","V0G","Kootenay Lake","Interior"
"61",8,807033,"Brent Kennedy Elementary","V0G1H0","Public School","Standard school","CRESCENT VALLEY","N","N","N","V0G","Kootenay Lake","Interior"
"62",8,807034,"Winlaw Elementary School","V0G2J0","Public School","Standard school","WINLAW","N","N","N","V0G","Kootenay Lake","Interior"
"63",8,807035,"Redfish Elementary School","V1L6M9","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"64",8,825030,"StrongStart Outreach #5","V0B1G0","Early learning school","StrongStart outreach","CRESTON","N","N","N","V0B","Kootenay Lake","Interior"
"65",8,825090,"SD 8 StrongStart BC Outreach Program #3","V0G2J0","Early learning school","StrongStart outreach","WINLAW","N","N","N","V0G","Kootenay Lake","Interior"
"66",8,825207,"StrongStart Outreach #4","V0B1E0","Early learning school","StrongStart outreach","CRAWFORD BAY","N","N","N","V0B","Kootenay Lake","Interior"
"67",8,825208,"SD 8 StrongStart BC Outreach Program #1","V1L1A5","Early learning school","StrongStart outreach","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"68",8,825209,"SD 8 StrongStart BC Outreach Program #2","V0G1M0","Early learning school","StrongStart outreach","KASLO","N","N","N","V0G","Kootenay Lake","Interior"
"69",8,886004,"Adam Robertson Elementary","V0B1G0","Public School","Standard school","CRESTON","N","N","N","V0B","Kootenay Lake","Interior"
"70",8,886005,"Jewett Elementary","V0G1N0","Public School","Standard school","MEADOW CREEK","N","N","N","V0G","Kootenay Lake","Interior"
"71",8,886006,"Crawford Bay Elem-Secondary","V0B1E0","Public School","Standard school","CRAWFORD BAY","Y","Y","Y","V0B","Kootenay Lake","Interior"
"72",8,886007,"Kootenay River Secondary","V0B1G5","Public School","Standard school","CRESTON","Y","Y","Y","V0B","Kootenay Lake","Interior"
"73",8,886014,"Canyon/Lister Elementary","V0B1C0","Public School","Standard school","CANYON","N","N","N","V0B","Kootenay Lake","Interior"
"74",8,886016,"Elev8 Homelinks","V0B1G0","Public School","Provincial online learning school","CRESTON","Y","Y","Y","V0B","Kootenay Lake","Interior"
"75",8,886018,"J V Humphries Elem-Secondary","V0G1M0","Public School","Standard school","KASLO","Y","Y","Y","V0G","Kootenay Lake","Interior"
"76",8,886019,"Erickson Elementary","V0B1K0","Public School","Standard school","ERICKSON","N","N","N","V0B","Kootenay Lake","Interior"
"77",8,896143,"St Joseph School","V1L4S2","Independent School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"78",8,896220,"Whole School","V0G2J0","Independent School","Standard school","WINLAW","N","N","N","V0G","Kootenay Lake","Interior"
"79",8,896449,"Nelson Waldorf School","V1L6N2","Independent School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"80",8,896710,"Nelson Christian Community School","V1L6J2","Independent School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"81",8,896726,"Mormon Hills Elementary Secondary","V0B1G2","Independent School","Standard school","CRESTON","N","N","N","V0B","Kootenay Lake","Interior"
"82",8,896749,"CHEK-ABC","V1L6J2","Independent School","Provincial online learning school","NELSON","Y","Y","Y","V1L","Kootenay Lake","Interior"
"83",8,896864,"Kootenay Valley Christian School","V0B1G6","Independent School","Standard school","CRESTON","N","N","N","V0B","Kootenay Lake","Interior"
"84",8,897558,"Yaqan Nukiy School","V0B1G2","Independent First Nations School","Standard school","CRESTON","N","N","N","V0B","Kootenay Lake","Interior"
"85",8,898001,"Elev8 D.E.S.K.","V1L1N8","Public School","Provincial online learning school","NELSON","Y","Y","Y","V1L","Kootenay Lake","Interior"
"86",8,899178,"Wildflower","V1L1N8","Public School","Standard school","NELSON","N","N","N","V1L","Kootenay Lake","Interior"
"87",8,899225,"Reach","V1L3W2","Public School","Alternate programs school","NELSON","N","Y","Y","V1L","Kootenay Lake","Interior"
"88",8,899298,"Sequoia Centre","V0G1H0","Public School","Alternate programs school","SOUTH SLOCAN","Y","Y","Y","V0G","Kootenay Lake","Interior"
"89",10,1010002,"Burton Elementary","V0G1E0","Public School","Standard school","BURTON","N","N","N","V0G","Arrow Lakes","Interior"
"90",10,1010003,"Edgewood Elementary","V0G1J0","Public School","Standard school","EDGEWOOD","N","N","N","V0G","Arrow Lakes","Interior"
"91",10,1010004,"Nakusp Elementary","V0G1R0","Public School","Standard school","NAKUSP","N","N","N","V0G","Arrow Lakes","Interior"
"92",10,1010006,"Nakusp Secondary","V0G1R0","Public School","Standard school","NAKUSP","Y","Y","Y","V0G","Arrow Lakes","Interior"
"93",10,1010011,"Lucerne Elem-Secondary","V0G1S0","Public School","Standard school","NEW DENVER","Y","Y","Y","V0G","Arrow Lakes","Interior"
"94",10,1025031,"Nakusp StrongStart Centre","V0G1R0","Early learning school","StrongStart center","NAKUSP","N","N","N","V0G","Arrow Lakes","Interior"
"95",10,1025091,"Lucerne StrongStart Centre","V0G1S0","Early learning school","StrongStart center","NEW DENVER","N","N","N","V0G","Arrow Lakes","Interior"
"96",10,1025210,"SD 10 StrongStart BC Outreach Program #1","V0G1E0","Early learning school","StrongStart outreach","Burton","N","N","N","V0G","Arrow Lakes","Interior"
"97",10,1099217,"Arrow Lakes Distributed Learning","V0G1S0","Public School","District online learning school","NEW DENVER","Y","Y","Y","V0G","Arrow Lakes","Interior"
"98",19,1919003,"Revelstoke Secondary","V0E2S0","Public School","Standard school","REVELSTOKE","Y","Y","Y","V0E","Revelstoke","Interior"
"99",19,1919013,"Columbia Park Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","N","N","N","V0E","Revelstoke","Interior"
"100",19,1919015,"Arrow Heights Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","N","N","N","V0E","Revelstoke","Interior"
"101",19,1919016,"Begbie View Elementary","V0E2S0","Public School","Standard school","REVELSTOKE","N","N","N","V0E","Revelstoke","Interior"
"102",19,1925001,"Begbie View StrongStart Centre","V0E2S0","Early learning school","StrongStart center","REVELSTOKE","N","N","N","V0E","Revelstoke","Interior"
"103",20,2009006,"Kinnaird Elementary","V1N2Z8","Public School","Standard school","CASTLEGAR","N","N","N","V1N","Kootenay-Columbia","Interior"
"104",20,2009010,"Stanley Humphries Secondary","V1N1R5","Public School","Standard school","CASTLEGAR","Y","Y","Y","V1N","Kootenay-Columbia","Interior"
"105",20,2009011,"Twin Rivers Elementary","V1N1R6","Public School","Standard school","CASTLEGAR","N","N","N","V1N","Kootenay-Columbia","Interior"
"106",20,2011005,"Fruitvale Elementary","V0G1L0","Public School","Standard school","FRUITVALE","N","N","N","V0G","Kootenay-Columbia","Interior"
"107",20,2011009,"James L Webster Elementary","V1R2G5","Public School","Standard school","TRAIL","N","N","N","V1R","Kootenay-Columbia","Interior"
"108",20,2011012,"J Lloyd Crowe Secondary","V1R4L9","Public School","Standard school","TRAIL","Y","Y","Y","V1R","Kootenay-Columbia","Interior"
"109",20,2011014,"Rossland Summit School","V0G1Y0","Public School","Standard school","ROSSLAND","N","N","N","V0G","Kootenay-Columbia","Interior"
"110",20,2011015,"Glenmerry Elementary","V1R2W6","Public School","Standard school","TRAIL","N","N","N","V1R","Kootenay-Columbia","Interior"
"111",20,2020021,"Robson Community School","V0G1X0","Public School","Standard school","ROBSON","N","N","N","V0G","Kootenay-Columbia","Interior"
"112",20,2020023,"Kootenay Columbia Secondary","V1R1R6","Public School","Standard school","TRAIL","Y","Y","Y","V1R","Kootenay-Columbia","Interior"
"113",20,2025032,"Fruitvale StrongStart Centre","V0G1L0","Early learning school","StrongStart center","FRUITVALE","N","N","N","V0G","Kootenay-Columbia","Interior"
"114",20,2025092,"Rossland StrongStart Centre","V0G1Y0","Early learning school","StrongStart center","ROSSLAND","N","N","N","V0G","Kootenay-Columbia","Interior"
"115",20,2025203,"SD 20 StrongStart BC Outreach Program #1","V1N3B9","Early learning school","StrongStart outreach","CASTLEGAR","N","N","N","V1N","Kootenay-Columbia","Interior"
"116",20,2025211,"Robson StrongStart Centre","V0G1X0","Early learning school","StrongStart center","ROBSON","N","N","N","V0G","Kootenay-Columbia","Interior"
"117",20,2096098,"St Michael's Elementary","V1R1S3","Independent School","Standard school","TRAIL","N","N","N","V1R","Kootenay-Columbia","Interior"
"118",20,2099137,"Kootenay-Columbia Learning Centre","V1R1R6","Public School","Alternate programs school","TRAIL","N","N","N","V1R","Kootenay-Columbia","Interior"
"119",22,2222000,"Continuing Ed SD 22","V1T2E4","Public School","Continuing education school","VERNON","N","Y","Y","V1T","Vernon","Interior"
"120",22,2222001,"Ecole Beairsto Elementary","V1T4W7","Public School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"121",22,2222002,"Coldstream Elementary","V1B1L7","Public School","Standard school","COLDSTREAM","N","N","N","V1B","Vernon","Interior"
"122",22,2222005,"Cherryville Elementary","V0E2G3","Public School","Standard school","CHERRYVILLE","N","N","N","V0E","Vernon","Interior"
"123",22,2222006,"Lavington Elementary","V1B3G4","Public School","Standard school","VERNON","N","N","N","V1B","Vernon","Interior"
"124",22,2222007,"W.L. Seaton Secondary","V1T6X3","Public School","Standard school","VERNON","Y","Y","Y","V1T","Vernon","Interior"
"125",22,2222009,"Harwood Elementary","V1T4E3","Public School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"126",22,2222010,"J W Inglis Elementary","V0E2G0","Public School","Standard school","LUMBY","N","N","N","V0E","Vernon","Interior"
"127",22,2222012,"Silver Star Elementary","V1T2R6","Public School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"128",22,2222013,"Okanagan Landing Elementary","V1H1G6","Public School","Standard school","VERNON","N","N","N","V1H","Vernon","Interior"
"129",22,2222014,"B X Elementary","V1B3P6","Public School","Standard school","VERNON","N","N","N","V1B","Vernon","Interior"
"130",22,2222015,"Hillview Elementary","V1B3A5","Public School","Standard school","VERNON","N","N","N","V1B","Vernon","Interior"
"131",22,2222017,"Vernon Secondary","V1T9X7","Public School","Standard school","VERNON","Y","Y","Y","V1T","Vernon","Interior"
"132",22,2222019,"Mission Hill Elementary","V1T6C8","Public School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"133",22,2222020,"Alexis Park Elementary","V1T6C4","Public School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"134",22,2222022,"Kalamalka Secondary","V1B1P8","Public School","Standard school","VERNON","Y","Y","Y","V1B","Vernon","Interior"
"135",22,2222024,"Kidston Elementary","V1B2H3","Public School","Standard school","COLDSTREAM","N","N","N","V1B","Vernon","Interior"
"136",22,2222025,"Clarence Fulton Secondary","V1H1Y1","Public School","Standard school","VERNON","Y","Y","Y","V1H","Vernon","Interior"
"137",22,2222026,"Ellison Elementary","V1H1S3","Public School","Standard school","VERNON","N","N","N","V1H","Vernon","Interior"
"138",22,2222027,"Charles Bloom Secondary","V0E2G0","Public School","Standard school","LUMBY","Y","Y","Y","V0E","Vernon","Interior"
"139",22,2225018,"Harwood Elementary StrongStart Centre","V1T4E3","Early learning school","StrongStart center","VERNON","N","N","N","V1T","Vernon","Interior"
"140",22,2225212,"SD 22 StrongStart BC Outreach Program #1","V1T6C8","Early learning school","StrongStart outreach","VERNON","N","N","N","V1T","Vernon","Interior"
"141",22,2225279,"Alexis Park AM StrongStart Centre","V1T6C4","Early learning school","StrongStart center","VERNON","N","N","N","V1T","Vernon","Interior"
"142",22,2225313,"Ellison Elementary StrongStart Centre","V1H1S3","Early learning school","StrongStart center","VERNON","N","N","N","V1H","Vernon","Interior"
"143",22,2296035,"Pleasant Valley Christian Academy","V1T3M7","Independent School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"144",22,2296078,"St James","V1T1V7","Independent School","Standard school","VERNON","N","N","N","V1T","Vernon","Interior"
"145",22,2296261,"Vernon Christian School","V1B3R5","Independent School","Standard school","VERNON","Y","Y","Y","V1B","Vernon","Interior"
"146",22,2296858,"Okanagan Waldorf School","V0E2G7","Independent School","Standard school","LUMBY","N","N","N","V0E","Vernon","Interior"
"147",22,2299083,"Crossroads Learning Centre","V0E2G0","Public School","Alternate programs school","LUMBY","Y","Y","Y","V0E","Vernon","Interior"
"148",22,2299151,"VLearn.ca","V1H1Y1","Public School","District online learning school","VERNON","Y","Y","Y","V1H","Vernon","Interior"
"149",22,2299152,"Alternative Learning Program","V1T2E4","Public School","Alternate programs school","VERNON","Y","Y","Y","V1T","Vernon","Interior"
"150",23,2323000,"Adult Education SD#23","V1Y2M8","Public School","Continuing education school","KELOWNA","N","N","Y","V1Y","Central Okanagan","Interior"
"151",23,2323005,"Central School Programs","V1Y2M8","Public School","Alternate programs school","KELOWNA","Y","Y","Y","V1Y","Central Okanagan","Interior"
"152",23,2323008,"Oyama Traditional School","V4V2E1","Public School","Standard school","OYAMA","N","N","N","V4V","Central Okanagan","Interior"
"153",23,2323014,"Raymer Elementary","V1Y4Z6","Public School","Standard school","KELOWNA","N","N","N","V1Y","Central Okanagan","Interior"
"154",23,2323015,"Rutland Middle School","V1X3B6","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"155",23,2323018,"Glenmore Elementary","V1Y4P1","Public School","Standard school","KELOWNA","N","N","N","V1Y","Central Okanagan","Interior"
"156",23,2323022,"South Kelowna Elementary","V1W4B5","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"157",23,2323028,"George Elliot Secondary","V4V1Y7","Public School","Standard school","WINFIELD","Y","Y","Y","V4V","Central Okanagan","Interior"
"158",23,2323029,"Dr Knox Middle School","V1V2X9","Public School","Standard school","KELOWNA","N","N","N","V1V","Central Okanagan","Interior"
"159",23,2323030,"Dorothea Walker Elementary","V1W1S5","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"160",23,2323031,"A S Matheson Elementary","V1Y3H9","Public School","Standard school","KELOWNA","N","N","N","V1Y","Central Okanagan","Interior"
"161",23,2323032,"North Glenmore Elementary","V1V2E3","Public School","Standard school","KELOWNA","N","N","N","V1V","Central Okanagan","Interior"
"162",23,2323033,"South Rutland Elementary","V1X2W5","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"163",23,2323034,"Bankhead Elementary","V1Y6Y6","Public School","Standard school","KELOWNA","N","N","N","V1Y","Central Okanagan","Interior"
"164",23,2323038,"KLO Middle School","V1W3M4","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"165",23,2323042,"Peachland Elementary","V0H1X5","Public School","Standard school","PEACHLAND","N","N","N","V0H","Central Okanagan","Interior"
"166",23,2323043,"Belgo Elementary School","V1X1N3","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"167",23,2323044,"Rutland Senior Secondary","V1X3B6","Public School","Standard school","KELOWNA","Y","Y","Y","V1X","Central Okanagan","Interior"
"168",23,2323046,"Casorso Elementary","V1W3E1","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"169",23,2323047,"Springvalley Middle School","V1X4H3","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"170",23,2323048,"Pearson Road Elementary","V1X5H8","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"171",23,2323049,"Glenrosa Elementary","V4T1G8","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"172",23,2323050,"Springvalley Elementary","V1X4H4","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"173",23,2323051,"Mount Boucherie Secondary","V1Z2T6","Public School","Standard school","WEST KELOWNA","Y","Y","Y","V1Z","Central Okanagan","Interior"
"174",23,2323052,"Hudson Road Elementary","V1Z1J5","Public School","Standard school","WEST KELOWNA","N","N","N","V1Z","Central Okanagan","Interior"
"175",23,2323055,"Bellevue Creek Elementary","V1W1H9","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"176",23,2323056,"Black Mountain Elementary","V1P1G7","Public School","Standard school","KELOWNA","N","N","N","V1P","Central Okanagan","Interior"
"177",23,2323058,"Helen Gorman Elementary","V4T1A7","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"178",23,2323059,"Okanagan Mission Secondary","V1W1T4","Public School","Standard school","KELOWNA","Y","Y","Y","V1W","Central Okanagan","Interior"
"179",23,2323060,"Quigley Elementary","V1X5V8","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"180",23,2323061,"Peter Greer Elementary","V4V1Y8","Public School","Standard school","WINFIELD","N","N","N","V4V","Central Okanagan","Interior"
"181",23,2323063,"Webber Road Elementary","V4T1J5","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"182",23,2323065,"Rose Valley Elementary","V1Z3G6","Public School","Standard school","WEST KELOWNA","N","N","N","V1Z","Central Okanagan","Interior"
"183",23,2323066,"Davidson Road Elementary","V4V1R3","Public School","Standard school","LAKE COUNTRY","N","N","N","V4V","Central Okanagan","Interior"
"184",23,2323067,"Shannon Lake Elementary","V4T1T2","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"185",23,2323070,"Anne McClymont Elementary","V1W1W9","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"186",23,2323071,"Glenrosa Middle School","V4T2N1","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"187",23,2323072,"Ellison Elementary","V1X6K9","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"188",23,2323073,"Chief Tomat Elementary","V4T2R8","Public School","Standard school","WEST KELOWNA","N","N","N","V4T","Central Okanagan","Interior"
"189",23,2323074,"Watson Road Elementary","V1V1R3","Public School","Standard school","KELOWNA","N","N","N","V1V","Central Okanagan","Interior"
"190",23,2323075,"Constable Neil Bruce Middle School","V1Z3Y4","Public School","Standard school","WEST KELOWNA","N","N","N","V1Z","Central Okanagan","Interior"
"191",23,2323076,"Kelowna Secondary","V1Y4Z7","Public School","Standard school","KELOWNA","Y","Y","Y","V1Y","Central Okanagan","Interior"
"192",23,2323077,"Rutland Elementary","V1X4V5","Public School","Standard school","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
"193",23,2323078,"Chute Lake Elementary","V1W4K8","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"194",23,2323079,"Mar Jok Elementary","V1Z4A4","Public School","Standard school","WEST KELOWNA","N","N","N","V1Z","Central Okanagan","Interior"
"195",23,2323082,"Central Secondary","V1Y2M8","Public School","Standard school","KELOWNA","N","N","Y","V1Y","Central Okanagan","Interior"
"196",23,2323084,"Canyon Falls Middle School","V1W4P1","Public School","Standard school","KELOWNA","N","N","N","V1W","Central Okanagan","Interior"
"197",23,2323085,"HS Grenda Middle School","V4V1T1","Public School","Standard school","LAKE COUNTRY","N","N","N","V4V","Central Okanagan","Interior"
"198",23,2325033,"A S Matheson StrongStart Centre","V1Y3H9","Early learning school","StrongStart center","KELOWNA","N","N","N","V1Y","Central Okanagan","Interior"
"199",23,2325093,"Pearson Road StrongStart Centre","V1X5H8","Early learning school","StrongStart center","KELOWNA","N","N","N","V1X","Central Okanagan","Interior"
