District Number,School Code,School Name,Address,City,Province,Postal Code,Physical Address,Physical City,Physical Province,Physical Postal Code,Principal First Name,Principal Last Name,Type,School Category,Phone,Fax,Email,Kindergarten Half Enrollment,Kindergarten Full Enrollment,Grade 1 Enrollment,Grade 2 Enrollment,Grade 3 Enrollment,Grade 4 Enrollment,Grade 5 Enrollment,Grade 6 Enrollment,Grade 7 Enrollment,Grade 8 Enrollment,Grade 9 Enrollment,Grade 10 Enrollment,Grade 11 Enrollment,Grade 12 Enrollment,Group Classification Primary K-3,Group Classification Elementary 4-7 EU,Group Classification Junior Secondary 8-10 SU,Group Classification Senior Secondary 11-12
006,00699086,Kimberley Alternate School,214 7th Avenue,Invermere,BC,V0A1K0,,,,,Lisa,Tenta,Alternate programs school,Public School,2503423060,2503426966,krystal.haggard@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,,,,
006,00699127,Open Doors Alternate Education,PO BOX 430,INVERMERE,BC,V0A1K0,,,,,Lisa,Tenta,Alternate programs school,Public School,2503423060,2503426966,lisa.tenta@sd6.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
006,00699157,Rocky Mountain Online Learning,BOX 430,INVERMERE,BC,V0A1K0,,,,,Lisa,Tenta,District online learning school,Public School,2503423060,2503426966,lisa.tenta@sd6.bc.ca,N,Y,Y,Y,Y,N,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00807004,Hume Elementary School,310 NELSON AVE,NELSON,BC,V1L2M8,,,,,Sacha,Kalabis,Standard school,Public School,2503523186,,sacha.kalabis@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,
008,00807005,Trafalgar Middle School,1201 JOSEPHINE ST,NELSON,BC,V1L1X8,,,,,Tim,Mushumanski,Standard school,Public School,2503525591,2503526522,tim.mushumanski@sd8.bc.ca,N,N,N,N,N,N,N,Y,Y,Y,Y,N,N,N,,,,
008,00807011,Salmo Elementary School,PO DRAWER 220,SALMO,BC,V0G1Z0,,,,,Misty,Terpstra,Standard school,Public School,2503572214,2503579449,misty.terpstra@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00807012,Salmo Secondary,PO BOX 310,SALMO,BC,V0G1Z0,,,,,Jon,Francis,Standard school,Public School,2503572226,2503579777,jon.francis@sd8.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,
008,00807013,L V Rogers Secondary,1004 COTTONWOOD STREET,NELSON,BC,V1L3W2,,,,,Dan,Rude,Standard school,Public School,2503525538,2503523119,dan.rude@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,,,,
008,00807014,South Nelson Elementary,814 LATIMER ST,NELSON,BC,V1L4V7,,,,,Dawn,Snell,Standard school,Public School,2503544139,2503544407,dawn.snell@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,N,,,,
008,00807016,Blewett Elementary School,2665 BLEWETT RD,NELSON,BC,V1L6V4,,,,,Jordon,Konken,Standard school,Public School,2503525314,2503521648,jordon.konken@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00807018,Rosemont Elementary School,1605 CREASE STREET,NELSON,BC,V1L1A5,,,,,Lindsay,Mackay,Standard school,Public School,2503523182,2503523182,lindsay.mackay@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00807025,Mount Sentinel Secondary,PO BOX 99,SOUTH SLOCAN,BC,V0G2G0,1014 Playmor Road,South Slocan,BC,V0G2G0,Shellie,Maloff,Standard school,Public School,2503597219,2503597688,shellie.maloff@sd8.bc.ca,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,Y,,,,
008,00807026,W.E. Graham Community School,PO BOX 10,SLOCAN,BC,V0G2C0,,,,,Jenn,Kooznetsoff,Standard school,Public School,2503552212,2503552523,jenn.kooznetsoff@sd8.bc.ca,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,,,,
008,00807033,Brent Kennedy Elementary,PO BOX 40,CRESCENT VALLEY,BC,V0G1H0,,,,,Danielle,Klassen,Standard school,Public School,2503597292,2503597522,danielle.klassen@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00807034,Winlaw Elementary School,PO BOX 10,WINLAW,BC,V0G2J0,,,,,Monica,Doyle,Standard school,Public School,2502267217,2502267210,Andre.McDowell@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00807035,Redfish Elementary School,265 BRYAN RD,NELSON,BC,V1L6M9,,,,,Mark,Bonikowsky,Standard school,Public School,2502294224,2502295676,mark.bonikowsky@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,N,,,,
008,00825030,StrongStart Outreach #5,617 11TH AVE,CRESTON,BC,V0B1G0,,,,,Naomi,Ross,StrongStart outreach,Early learning school,2504282217,,naomi.ross@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
008,00825090,SD 8 StrongStart BC Outreach Program #3,PO BOX 10,WINLAW,BC,V0G2J0,,,,,Naomi,Ross,StrongStart outreach,Early learning school,2502267217,2502267210,naomi.ross@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
008,00825207,StrongStart Outreach #4,PO BOX 100,CRAWFORD BAY,BC,V0B1E0,,,,,Naomi,Ross,StrongStart outreach,Early learning school,2502279218,,naomi.ross@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
008,00825208,SD 8 StrongStart BC Outreach Program #1,1605 CREASE AVENUE,NELSON,BC,V1L1A5,,,,,Naomi,Ross,StrongStart outreach,Early learning school,2503523182,2503529761,naomi.ross@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
008,00825209,SD 8 StrongStart BC Outreach Program #2,PO BOX 577,KASLO,BC,V0G1M0,,,,,Naomi,Ross,StrongStart outreach,Early learning school,2503532227,2503537434,naomi.ross@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
008,00886004,Adam Robertson Elementary,421 9 AVE N,CRESTON,BC,V0B1G0,,,,,Tanya,Christenson,Standard school,Public School,2504282051,2504282019,tanya.christenson@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
008,00886005,Jewett Elementary,PO BOX 39,MEADOW CREEK,BC,V0G1N0,132 MEADOW CREEK RD,MEADOW CREEK,BC,V0G1N0,Ron,Sherman,Standard school,Public School,2503532227,2503664429,ron.sherman@sd8.bc.ca,N,Y,Y,Y,Y,Y,N,Y,N,N,N,N,N,N,,,,
008,00886006,Crawford Bay Elem-Secondary,PO BOX 100,CRAWFORD BAY,BC,V0B1E0,,,,,Victoria,Mcallister,Standard school,Public School,2502279525,2502279525,victoria.mcallister@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00886007,Kootenay River Secondary,223 18TH AVE S,CRESTON,BC,V0B1G5,,,,,Darryl,Adams,Standard school,Public School,2504282274,2504282274,darryl.adams@sd8.bc.ca,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,
008,00886014,Canyon/Lister Elementary,4575 CANYON-LISTER ROAD,CANYON,BC,V0B1C0,,,,,Jennifer,Adams,Standard school,Public School,2504284161,2504282268,jennifer.adams@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
008,00886016,Elev8 Homelinks,PO BOX 250,CRESTON,BC,V0B1G0,,,,,Kenneth,Wiens,Provincial online learning school,Public School,2505057053,2503526686,kenneth.wiens@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00886018,J V Humphries Elem-Secondary,PO BOX 577,KASLO,BC,V0G1M0,,,,,Ron,Sherman,Standard school,Public School,2503532227,2503537434,ron.sherman@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00886019,Erickson Elementary,PO BOX 180,ERICKSON,BC,V0B1K0,,,,,Brian,Hamm,Standard school,Public School,2504282363,2504285783,brian.hamm@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
008,00896143,St Joseph School,523 MILL ST,NELSON,BC,V1L4S2,,,,,Michael,Carere,Standard school,Independent School,2503523041,,sjnprincipal@cisnd.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,01,01,01,
008,00896220,Whole School,PO BOX 240,WINLAW,BC,V0G2J0,240-5614 HWY 6,WINLAW,BC,V0G2J0,Sumika,Motoki,Standard school,Independent School,2502267737,2502260041,wholeschool@gmail.com,N,Y,N,N,N,N,N,N,N,N,N,N,N,N,01,01,,
008,00896449,Nelson Waldorf School,3648 Silverking Ski Hill Road,NELSON,BC,V1L6N2,,,,,Marcelo,Porto Goncalves,Standard school,Independent School,2503526919,,info@nelsonwaldorf.org,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,01,01,01,
008,00896710,Nelson Christian Community School,570 JOHNSTONE RD,NELSON,BC,V1L6J2,,,,,Tracy,Ashley,Standard school,Independent School,2503520526,2503520546,tashley@nelsonchristian.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,01,01,01,
008,00896726,Mormon Hills Elementary Secondary,876 LYONS RD,CRESTON,BC,V0B1G2,,,,,Peter,Blackmore,Standard school,Independent School,2504284800,2504284895,mormonhills@gmail.com,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,01,01,01,
008,00896749,CHEK-ABC,570 JOHNSTONE RD,NELSON,BC,V1L6J2,,,,,Kevin,Bernhardt,Provincial online learning school,Independent School,2503520526,2503520546,kbernhardt@chekabc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00896864,Kootenay Valley Christian School,1152 21 HWY N,CRESTON,BC,V0B1G6,,,,,Quinton,Hiebert,Standard school,Independent School,2504289079,2504289078,kvcs9079@gmail.com,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,03,03,03,
008,00897558,Yaqan Nukiy School,904 SIMON RD,CRESTON,BC,V0B1G2,,,,,Katherine,Coleman,Standard school,Independent First Nations School,2504289816,,principal@yaqannukiyschool.org,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,02,02,02,
008,00898001,Elev8 D.E.S.K.,811 STANLEY ST,NELSON,BC,V1L1N8,,,,,Kenneth,Wiens,Provincial online learning school,Public School,2503544311,2505057007,kenneth.wiens@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
008,00899178,Wildflower,811 STANLEY ST,NELSON,BC,V1L1N8,,,,,Nick,Graves,Standard school,Public School,2505057020,2505057007,nick.graves@sd8.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,,,,
008,00899225,Reach,1004 COTTONWOOD ST,NELSON,BC,V1L3W2,,,,,Dan,Rude,Alternate programs school,Public School,2503525538,2503523119,dan.rude@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,Y,Y,,,,
008,00899298,Sequoia Centre,PO BOX 99,SOUTH SLOCAN,BC,V0G2G0,1385 HIGHWAY 6,CRESCENT VALLEY,BC,V0G1H0,Shellie,Mallof,Alternate programs school,Public School,2503596873,2503597688,shellie.maloff@sd8.bc.ca,N,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,,,,
010,01010002,Burton Elementary,PO BOX 3,BURTON,BC,V0G1E0,219 BURTON SCHOOL ROAD,BURTON,BC,V0G1E0,Brent,Cook,Standard school,Public School,2502653253,2502653426,brent.cook@sd10.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
010,01010003,Edgewood Elementary,PO BOX 129,EDGEWOOD,BC,V0G1J0,,,,,Mike,Hibberson,Standard school,Public School,2502653638,2502697633,brent.cook@sd10.bc.ca,N,N,N,N,Y,Y,Y,Y,N,N,N,N,N,N,,,,
010,01010004,Nakusp Elementary,PO BOX 250,NAKUSP,BC,V0G1R0,,,,,Brent,Cook,Standard school,Public School,2502653638,2502653081,mike.hibberson@sd10.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,N,N,N,N,N,,,,
010,01010006,Nakusp Secondary,PO BOX 249,NAKUSP,BC,V0G1R0,,,,,Mike,Hibberson,Standard school,Public School,2502653638,2502653668,peter.gajda@sd10.bc.ca,N,N,N,N,N,N,N,N,N,Y,Y,Y,Y,Y,,,,
010,01010011,Lucerne Elem-Secondary,PO BOX 130,NEW DENVER,BC,V0G1S0,,,,,Nicholas,Graves,Standard school,Public School,2502653638,2503582533,mitchell.hemphill@sd10.bc.ca,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
010,01025031,Nakusp StrongStart Centre,619 A 4TH ST NW,NAKUSP,BC,V0G1R0,,,,,Mike,Hibberson,StrongStart center,Early learning school,2502563638,2502653081,lisa.bateman@sd10.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
010,01025091,Lucerne StrongStart Centre,PO BOX 130,NEW DENVER,BC,V0G1S0,,,,,Nicholas,Graves,StrongStart center,Early learning school,2502653638,2503582533,mitchell.hemphill@sd10.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
010,01025210,SD 10 StrongStart BC Outreach Program #1,PO Box 3,Burton,BC,V0G1E0,,,,,Brent,Cook,StrongStart outreach,Early learning school,2502653638,,brent.cook@sd10.bc.ca,N,N,N,N,N,N,N,N,N,N,N,N,N,N,,,,
010,01099217,Arrow Lakes Distributed Learning,PO BOX 130,NEW DENVER,BC,V0G1S0,,,,,Nicholas,Graves,District online learning school,Public School,2502653638,2503582533,mitchell.hemphill@sd10.bc.ca,N,N,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,Y,,,,
