District Number,District Name,Address Line 1,Address Line 2,City,Province,Postal Code,Country,Courier Address Line 1,Courier Address Line 2,Courier City,Courier Province,Courier Postal Code,Courier Country,Web Address,Phone,Fax
045,West Vancouver,1075 21ST ST,,WEST VANCOUVER,BC,V7V4A9,CA,,,,,,,https://westvancouverschools.ca/,6049811000,6049811001
046,Sunshine Coast,PO BOX 220,,GIBSONS,BC,V0N1V0,CA,494 SOUTH FLETCHER RD,,GIBSONS,BC,V0N1V0,CA,https://www.sd46.bc.ca,6048868811,6048864652
047,qathet,4351 ONTARIO AVE,,POWELL RIVER,BC,V8A1V3,CA,,,,,,,https://www.sd47.bc.ca,6044856271,6044856435
048,Sea To Sky,PO BOX 250,,SQUAMISH,BC,V8B0A2,CA,37866 2ND AVE,,SQUAMISH,BC,V0N3G0,CA,https://sd48seatosky.org,6048925228,6048921038
049,Central Coast,PO BAG 130,,HAGENSBORG,BC,V0T1H0,CA,1961 HIGHWAY 20,,HAGENSBORG,BC,V0T1H0,CA,https://www.sd49.bc.ca,2509822691,2509822319
050,Haida Gwaii,PO BOX 69,,Daajing Giids,BC,V0T1S0,CA,107 THIRD AVE BY PRIORITY POST,,Daajing Giids,BC,V0T1S0,CA,https://www.sd50.bc.ca,2505598471,2505598473
051,Boundary,PO BOX 640,,GRAND FORKS,BC,V0H1H0,CA,1021 CENTRAL AVE,,GRAND FORKS,BC,V0H1H0,CA,https://www.sd51.bc.ca,2504428258,2504428800
052,Prince Rupert,634 SIXTH AVE E,,PRINCE RUPERT,BC,V8J1X1,CA,,,,,,,https://www.rupertschools.ca,2506246717,2506246517
053,Okanagan Similkameen,PO BOX 1770,,OLIVER,BC,V0H1T0,CA,6161 OKANAGAN ST,,OLIVER,BC,V0H1T0,CA,https://www.sd53.bc.ca,2504983481,2504984070
054,Bulkley Valley,PO BOX 758,,SMITHERS,BC,V0J2N0,CA,1235 MONTREAL ST,,SMITHERS,BC,V0J2N0,CA,https://www.sd54.bc.ca,2508776820,2508776835
057,Prince George,2100 FERRY AVE,,PRINCE GEORGE,BC,V2L4R5,CA,,,,,,,https://www.sd57.bc.ca,2505616800,2505616801
058,Nicola-Similkameen,PO BAG 4100,,MERRITT,BC,V1K1B8,CA,1550 CHAPMAN ST,,MERRITT,BC,V1K1B8,CA,https://www.sd58.bc.ca,2503785161,2503786263
059,Peace River South,11600 7 ST,,DAWSON CREEK,BC,V1G4R8,CA,,,,,,,https://www.sd59.bc.ca,2507828571,2507823204
060,Peace River North,10112 105 AVE,,FORT ST. JOHN,BC,V1J4S4,CA,,,,,,,https://www.prn.bc.ca,2502626000,2502626000
061,Greater Victoria,556 BOLESKINE RD,,VICTORIA,BC,V8Z1E8,CA,,,,,,,https://www.sd61.bc.ca,2504753212,2504756161
062,Sooke,3143 JACKLIN RD,,VICTORIA,BC,V9B5R1,CA,,,,,,,https://www.sd62.bc.ca,2504749800,2504749825
063,Saanich,2125 KEATING CROSS RD,,SAANICHTON,BC,V8M2A5,CA,,,,,,,https://saanichschools.ca/,2506527300,2506526421
064,Gulf Islands,112 RAINBOW RD,,SALT SPRING ISLAND,BC,V8K2K3,CA,,,,,,,https://www.sd64.bc.ca,2505375548,2505374200
067,Okanagan Skaha,425 JERMYN AVE,,PENTICTON,BC,V2A1Z4,CA,,,,,,,https://www.sd67.bc.ca,2507707700,2507707730
068,Nanaimo-Ladysmith,395 WAKESIAH AVE,,NANAIMO,BC,V9R3K6,CA,,,,,,,https://www.sd68.bc.ca,2507545521,2507415248
069,Qualicum,PO BOX 430,,PARKSVILLE,BC,V9P2G5,CA,100 JENSEN AVE EAST,,PARKSVILLE,BC,V9P2G5,CA,https://www.sd69.bc.ca,2502484241,2502485767
070,Pacific Rim,4690 ROGER ST,,PORT ALBERNI,BC,V9Y3Z4,CA,,,,,,,https://www.sd70.bc.ca,2507233565,2507230318
071,Comox Valley,607 CUMBERLAND RD,,COURTENAY,BC,V9N7G5,CA,,,,,,,https://www.comoxvalleyschools.ca,2503345500,2503345552
072,Campbell River,425 PINECREST RD,,CAMPBELL RIVER,BC,V9W3P2,CA,,,,,,,https://www.sd72.bc.ca,2508302300,2502872616
073,Kamloops-Thompson,1383 NINTH AVE,,KAMLOOPS,BC,V2C3X7,CA,,,,,,,https://www.sd73.bc.ca,2503740679,2503721183
074,Gold Trail,PO BOX 250,,ASHCROFT,BC,V0K1A0,CA,400 HOLLIS RD,,ASHCROFT,BC,V0K1A0,CA,https://www.sd74.bc.ca,2504539101,2509840772
075,Mission,33046 4th AVE,,MISSION,BC,V2V1S5,CA,,,,,,,https://www.mpsd.ca,6048266286,6048264517
078,Fraser-Cascade,650 KAWKAWA LAKE RD,,HOPE,BC,V0X1L4,CA,,,,,,,https://www.sd78.bc.ca,6048692411,6048697400
079,Cowichan Valley,2557 BEVERLY ST,,DUNCAN,BC,V9L2X3,CA,,,,,,,https://www.sd79.bc.ca,2507480321,2507486591
081,Fort Nelson,BOX 87,,FORT NELSON,BC,V0C1R0,CA,5104 AIRPORT DR,,FORT NELSON,BC,V0C1R0,CA,https://www.sd81.bc.ca/,2507742591,2507742598
082,Coast Mountains,3211 KENNEY ST,,TERRACE,BC,V8G3E9,CA,,,,,,,https://cmsd.bc.ca/,2506354931,
083,North Okanagan-Shuswap,BOX 129,,SALMON ARM,BC,V1E4N2,CA,341 SHUSWAP ST SW,,SALMON ARM,BC,V1E4H9,CA,https://www.sd83.bc.ca,2508322157,2508329428
084,Vancouver Island West,BOX 100,,GOLD RIVER,BC,V0P1G0,CA,2 HIGHWAY 28,,GOLD RIVER,BC,V0P1G0,CA,https://www.sd84.bc.ca,2502832241,2502837352
085,Vancouver Island North,BOX 90,,PORT HARDY,BC,V0N2P0,CA,6975 RUPERT ST,,PORT HARDY,BC,V0N2P0,CA,https://www.sd85.bc.ca,2509496618,2509498792
087,Stikine,BOX 190,,DEASE LAKE,BC,V0C1L0,CA,5 COMMERCIAL DRIVE,,DEASE LAKE,BC,V0C1L0,CA,https://www.sd87.bc.ca,2507714440,2507714441
091,Nechako Lakes,PO Box 129,153 E Connaught St,Vanderhoof,BC,V0J3A0,CA,153 E. Connaught St.,,Vanderhoof,BC,V0J3A0,CA,https://www.sd91.bc.ca,2505672284,2505674639
092,Nisga'a,PO BOX 240,,NEW AIYANSH,BC,V0J1A0,CA,4702 HUWILP,,NEW AIYANSH,BC,V0J1A0,CA,https://www.nisgaa.bc.ca,2506332228,2506332401
093,Conseil scolaire francophone,100-13511 COMMERCE PKY,,RICHMOND,BC,V6V2J8,CA,,,,,,,https://www.csf.bc.ca,6042142600,6042149881
